"","name_table","id"
"1","ABB","1"
"2","ACA","2"
"3","ACI","3"
"4","APP","4"
"5","BAT","5"
"6","CAB","6"
"7","CAC","7"
"8","CAI","8"
"9","CAY","9"
"10","CHE","10"
"11","CHL","11"
"12","COD","12"
"13","CON","13"
"14","CYC","14"
"15","DAB","15"
"16","DAP","16"
"17","DEC","17"
"18","DED","18"
"19","DHO","19"
"20","DIB","20"
"21","DIC","21"
"22","DOJ","22"
"23","DRO","23"
"24","DUD","24"
"25","DUI","25"
"26","DUN","26"
"27","DUR","27"
"28","EAG","28"
"29","EAS","29"
"30","ECL","30"
"31","ECO","31"
"32","EID","32"
"33","ELA","33"
"34","ELD","34"
"35","ELM","35"
"36","EMI","36"
"37","ENV","37"
"38","EPI","38"
"39","EUR","39"
"40","EVA","40"
"41","FAX","41"
"42","FIN","42"
"43","GEM","43"
"44","GOV","44"
"45","GRA","45"
"46","GUI","46"
"47","HAS","47"
"48","HAV","48"
"49","HEK","49"
"50","HES","50"
"51","HIA","51"
"52","HIZ","52"
"53","HOJ","53"
"54","HOK","54"
"55","HON","55"
"56","HUC","56"
"57","HYM","57"
"58","IGU","58"
"59","IRI","59"
"60","KEL","60"
"61","KIW","61"
"62","KOL","62"
"63","LAD","63"
"64","LAH","64"
"65","LAN","65"
"66","LAO","66"
"67","LAQ","67"
"68","LAR","68"
"69","LAS","69"
"70","LAV","70"
"71","LAZ","71"
"72","LEI","72"
"73","LEJ","73"
"74","LEY","74"
"75","LID","75"
"76","LIM","76"
"77","LIT","77"
"78","LIW","78"
"79","LIX","79"
"80","LIZ","80"
"81","LOA","81"
"82","LOC","82"
"83","LOL","83"
"84","LOM","84"
"85","LOP","85"
"86","LOX","86"
"87","LUN","87"
"88","LUP","88"
"89","LUR","89"
"90","LUV","90"
"91","LUX","91"
"92","LYB","92"
"93","LYC","93"
"94","LYE","94"
"95","LYM","95"
"96","MBE","96"
"97","MIA","97"
"98","MIC","98"
"99","MON","99"
"100","MYS","100"
"101","NAI","101"
"102","NAK","102"
"103","NAP","103"
"104","NAR","104"
"105","NEA","105"
"106","NGI","106"
"107","NIG","107"
"108","NIK","108"
"109","NIO","109"
"110","NOB","110"
"111","NOM","111"
"112","NOO","112"
"113","NUT","113"
"114","NUZ","114"
"115","NYA","115"
"116","NYS","116"
"117","OAS","117"
"118","OBI","118"
"119","OCT","119"
"120","OMO","120"
"121","ONY","121"
"122","OPA","122"
"123","OPH","123"
"124","ORI","124"
"125","OXY","125"
"126","PAI","126"
"127","PEB","127"
"128","PEM","128"
"129","POK","129"
"130","RAN","130"
"131","RAZ","131"
"132","RHA","132"
"133","RHO","133"
"134","RIE","134"
"135","RIV","135"
"136","ROD","136"
"137","ROW","137"
"138","ROX","138"
"139","RUE","139"
"140","RWA","140"
"141","SAC","141"
"142","SAD","142"
"143","SCE","143"
"144","SEM","144"
"145","SER","145"
"146","SNA","146"
"147","TAX","147"
"148","TEL","148"
"149","TIB","149"
"150","URU","150"
"151","VAA","151"
"152","VAI","152"
"153","VEL","153"
"154","VES","154"
"155","VEX","155"
"156","VIG","156"
"157","VIV","157"
"158","VIY","158"
"159","VOG","159"
"160","VOR","160"
"161","VOW","161"
"162","VUG","162"
"163","VUR","163"
"164","WAD","164"
"165","WAG","165"
"166","WAJ","166"
"167","WAS","167"
"168","WAW","168"
"169","WEA","169"
"170","WEI","170"
"171","WEN","171"
"172","WEW","172"
"173","WHE","173"
"174","WHO","174"
"175","WIE","175"
"176","WIF","176"
"177","WIP","177"
"178","WIR","178"
"179","WIW","179"
"180","WOB","180"
"181","WON","181"
"182","WOZ","182"
"183","WRA","183"
"184","WRU","184"
"185","WUM","185"
"186","WYN","186"
"187","YAI","187"
"188","YAP","188"
"189","YEL","189"
"190","YOD","190"
"191","YOG","191"
"192","YUG","192"
